alert_type,urgency,hour,weekday,nearby_reports,recent_reports,rain_probability,risk_level
Iluminación,Alta,17,2,2,5,0.35,2
Incendio,Baja,13,2,6,3,0.49,2
Residuos,Alta,13,5,2,1,0.83,1
Tránsito,Media,15,0,1,0,0.52,1
Tránsito,Media,17,1,4,3,0.41,2
Iluminación,Baja,1,5,8,2,0.34,1
Residuos,Media,1,4,1,2,0.3,1
Tránsito,Baja,21,5,0,4,0.96,2
Incendio,Alta,19,5,5,4,0.77,2
Bache,Media,0,1,5,2,0.29,2
Incendio,Baja,4,3,5,5,0.59,2
Residuos,Alta,16,4,1,3,0.92,1
Seguridad,Baja,3,6,1,3,0.69,1
Residuos,Alta,17,2,7,1,0.25,2
Iluminación,Media,16,1,6,5,0.33,2
Incendio,Baja,18,5,0,0,0.28,0
Residuos,Alta,23,4,1,3,0.25,1
Bache,Baja,5,3,1,1,0.84,1
Bache,Media,11,5,6,1,0.62,2
Bache,Media,7,5,4,0,0.53,2
Seguridad,Media,0,6,7,6,0.45,2
Incendio,Media,6,0,5,0,0.25,2
Tránsito,Media,19,4,0,0,0.95,2
Tránsito,Media,16,5,1,3,0.79,2
Residuos,Alta,10,2,4,1,0.8,2
Iluminación,Alta,19,0,0,1,0.83,1
Seguridad,Baja,12,4,3,3,0.39,1
Bache,Media,19,6,7,3,0.37,2
Iluminación,Baja,19,1,6,1,0.64,2
Residuos,Baja,11,0,3,3,0.93,1
Seguridad,Media,5,2,0,2,0.66,1
Tránsito,Baja,20,3,4,4,0.16,2
Seguridad,Media,2,3,1,1,0.67,1
Incendio,Alta,11,5,8,0,0.27,2
Iluminación,Media,6,1,1,6,0.37,2
Iluminación,Alta,18,3,5,6,0.0,2
Incendio,Media,16,6,5,1,0.11,2
Bache,Media,7,1,6,2,0.04,2
Incendio,Alta,2,4,0,4,0.74,2
Bache,Media,1,4,2,1,0.53,1
Tránsito,Alta,2,5,1,3,0.65,2
Bache,Baja,4,0,4,5,0.51,2
Bache,Baja,22,4,4,4,0.94,2
Tránsito,Baja,23,6,6,0,0.72,2
Seguridad,Baja,9,5,2,5,0.01,2
Incendio,Alta,22,5,8,0,0.49,2
Iluminación,Alta,15,6,0,3,0.77,1
Residuos,Baja,14,2,2,2,0.81,0
Iluminación,Baja,17,0,4,4,0.89,2
Incendio,Baja,12,0,3,0,0.62,1
Bache,Media,4,2,6,2,0.29,2
Tránsito,Media,1,3,0,5,0.62,1
Tránsito,Baja,16,1,6,5,0.1,2
Residuos,Baja,13,3,7,6,0.02,2
Tránsito,Alta,11,1,3,2,0.69,2
Incendio,Baja,23,4,6,4,0.29,2
Iluminación,Media,4,6,1,1,0.34,1
Tránsito,Media,7,1,5,2,0.72,2
Tránsito,Media,6,0,6,3,0.46,2
Residuos,Media,4,4,7,5,0.86,2
Incendio,Media,20,0,1,5,0.51,2
Seguridad,Media,17,1,3,6,0.3,2
Iluminación,Alta,21,2,6,0,0.24,2
Incendio,Baja,5,0,3,6,0.71,2
Residuos,Media,5,1,8,0,0.62,1
Bache,Baja,0,0,4,0,0.63,1
Tránsito,Media,0,6,0,5,0.76,2
Bache,Media,2,2,2,2,0.42,1
Residuos,Baja,0,5,6,5,0.56,2
Seguridad,Media,16,5,6,4,0.47,2
Bache,Alta,6,1,5,1,0.88,2
Residuos,Media,9,1,1,4,0.54,2
Seguridad,Alta,11,0,8,2,0.01,2
Tránsito,Baja,23,5,1,2,0.48,1
Tránsito,Alta,15,5,2,3,0.23,2
Residuos,Media,6,6,7,3,0.93,2
Iluminación,Media,18,0,6,5,0.46,2
Seguridad,Baja,3,6,6,6,0.64,2
Seguridad,Media,11,6,2,4,0.49,2
Seguridad,Baja,5,2,8,6,0.99,2
Iluminación,Alta,21,4,1,4,0.35,2
Tránsito,Baja,19,4,2,5,0.33,2
Seguridad,Media,21,1,4,6,0.95,2
Tránsito,Media,10,3,4,0,0.47,1
Residuos,Alta,16,4,0,3,0.77,1
Residuos,Alta,2,0,6,5,0.83,2
Iluminación,Baja,1,1,3,2,0.45,1
Residuos,Baja,10,3,5,3,0.79,1
Incendio,Baja,3,2,3,6,0.02,2
Tránsito,Baja,8,1,2,5,0.45,2
Seguridad,Alta,18,0,6,3,0.72,2
Bache,Alta,16,5,0,2,0.69,1
Iluminación,Media,20,6,4,4,0.28,2
Bache,Media,5,0,5,0,0.35,1
Residuos,Alta,2,6,3,2,0.09,2
Residuos,Media,6,4,6,1,0.86,2
Bache,Baja,6,6,8,5,0.05,2
Bache,Alta,23,4,4,5,0.99,2
Incendio,Alta,17,3,4,0,0.26,2
Iluminación,Baja,17,3,7,1,0.49,2
Residuos,Baja,17,2,1,0,0.36,0
Seguridad,Media,16,4,4,4,0.98,2
Incendio,Alta,18,3,8,4,0.31,2
Iluminación,Alta,4,6,7,6,0.56,2
Residuos,Alta,9,4,4,1,0.59,2
Iluminación,Baja,4,2,6,0,0.63,1
Iluminación,Alta,1,4,7,0,0.28,2
Seguridad,Alta,10,0,4,0,0.41,2
Bache,Baja,14,1,4,4,0.97,2
Bache,Media,18,6,3,0,0.76,2
Iluminación,Baja,2,6,1,5,0.51,1
Tránsito,Baja,14,2,6,6,0.73,2
Tránsito,Media,22,6,1,4,0.8,2
Seguridad,Alta,18,0,3,5,0.94,2
Residuos,Alta,20,6,5,2,0.1,2
Seguridad,Baja,9,0,5,4,0.29,2
Iluminación,Alta,0,0,6,6,0.55,2
Incendio,Baja,17,1,7,3,0.79,2
Seguridad,Baja,3,1,0,0,0.81,0
Residuos,Alta,9,1,0,6,0.28,2
Iluminación,Baja,13,2,2,6,0.66,1
Seguridad,Alta,6,4,5,5,0.04,2
Incendio,Alta,12,3,0,4,0.92,2
Incendio,Media,21,5,3,2,0.09,2
Residuos,Baja,18,4,2,5,0.39,1
Bache,Baja,6,1,5,5,0.36,2
Seguridad,Media,8,2,6,0,0.2,2
Incendio,Baja,23,0,5,2,0.47,2
Seguridad,Alta,23,5,1,1,0.34,1
Incendio,Alta,22,2,8,4,0.85,2
Incendio,Alta,14,3,7,1,0.28,2
Iluminación,Baja,11,4,5,0,0.26,1
Tránsito,Alta,6,5,7,1,0.43,2
Residuos,Media,21,1,5,3,0.78,2
Seguridad,Baja,6,6,3,5,0.82,2
Tránsito,Media,14,4,3,1,0.03,1
Iluminación,Media,6,0,1,1,0.04,1
Residuos,Baja,3,0,5,6,0.3,2
Iluminación,Media,18,4,0,3,0.3,1
Incendio,Media,8,0,0,6,0.92,2
Iluminación,Alta,16,3,3,6,0.48,2
Bache,Media,7,6,4,3,0.91,2
Seguridad,Baja,0,6,1,4,0.18,1
Incendio,Media,15,6,4,6,0.91,2
Residuos,Alta,19,4,3,1,0.93,2
Residuos,Media,13,2,5,2,0.71,2
Tránsito,Alta,23,6,8,4,0.17,2
Residuos,Media,18,2,8,0,0.2,2
Residuos,Alta,22,5,3,3,0.89,2
Bache,Alta,0,6,2,2,0.66,2
Bache,Alta,20,5,6,1,0.66,2
Tránsito,Media,19,3,2,0,0.67,1
Bache,Media,12,2,7,1,0.43,2
Tránsito,Alta,5,6,8,0,0.83,2
Iluminación,Alta,14,3,3,1,0.99,2
Iluminación,Alta,5,0,1,6,0.96,2
Bache,Alta,2,2,7,3,0.52,2
Iluminación,Baja,18,4,7,3,0.17,2
Bache,Media,1,2,0,5,0.83,2
Tránsito,Alta,6,5,7,5,0.12,2
Iluminación,Media,11,0,1,0,0.09,0
Seguridad,Media,21,5,1,0,0.23,1
Residuos,Baja,12,0,1,3,0.11,0
Tránsito,Media,0,3,1,6,0.66,2
Bache,Baja,0,5,4,4,0.02,2
Seguridad,Baja,22,2,1,2,0.9,1
Bache,Media,2,3,3,6,0.45,2
Residuos,Media,11,3,4,2,0.49,1
Incendio,Media,19,0,2,4,0.19,2
Seguridad,Baja,4,4,4,3,0.72,2
Incendio,Baja,18,2,5,2,0.06,2
Seguridad,Media,18,5,1,2,0.65,2
Residuos,Baja,17,5,2,6,0.01,1
Tránsito,Alta,3,1,0,4,0.61,2
Iluminación,Alta,12,4,1,5,0.46,2
Seguridad,Alta,10,0,4,0,0.47,2
Tránsito,Baja,12,2,8,3,0.99,2
Bache,Media,8,2,8,1,0.86,2
Iluminación,Baja,17,5,6,1,0.6,2
Incendio,Baja,9,4,0,1,0.72,1
Seguridad,Alta,13,4,6,1,0.5,2
Seguridad,Alta,19,1,6,1,0.05,2
Seguridad,Baja,16,6,2,6,0.54,1
Iluminación,Baja,13,2,7,4,0.38,2
Iluminación,Media,16,4,0,4,0.43,1
Tránsito,Alta,18,4,7,5,0.54,2
Iluminación,Baja,20,0,4,4,0.21,2
Incendio,Alta,4,6,5,5,0.34,2
Bache,Media,4,0,1,4,0.02,1
Incendio,Alta,17,2,2,3,0.24,2
Bache,Media,17,6,6,0,0.33,2
Incendio,Alta,15,2,0,2,0.65,1
Iluminación,Media,2,4,4,5,0.4,2
Residuos,Media,2,1,2,6,0.62,1
Residuos,Alta,21,3,1,2,0.01,1
Residuos,Alta,23,5,5,1,0.93,2
Residuos,Alta,11,5,2,6,0.91,2
Incendio,Baja,6,0,6,6,0.58,2
Incendio,Baja,4,6,0,2,0.17,0
Bache,Baja,15,0,7,1,0.74,2
Iluminación,Baja,15,0,2,6,0.97,1
Bache,Media,6,6,6,2,0.25,2
Iluminación,Baja,7,5,8,3,0.99,2
Bache,Media,6,3,0,2,0.3,1
Incendio,Baja,3,6,7,5,0.55,2
Iluminación,Alta,19,3,1,4,0.07,2
Iluminación,Baja,12,5,6,6,0.39,2
Tránsito,Baja,17,5,0,3,0.95,2
Bache,Baja,20,2,5,4,0.35,2
Tránsito,Baja,18,6,6,5,0.58,2
Residuos,Alta,19,0,7,6,0.29,2
Bache,Alta,5,1,0,5,0.44,2
Incendio,Media,11,1,1,5,0.71,2
Seguridad,Alta,15,3,5,1,0.85,2
Seguridad,Alta,16,1,2,1,0.96,2
Tránsito,Baja,7,0,8,4,0.79,2
Incendio,Baja,23,4,1,3,0.96,1
Bache,Alta,11,3,7,3,0.62,2
Seguridad,Media,15,6,3,4,0.53,2
Iluminación,Baja,20,1,6,5,0.23,2
Seguridad,Media,1,4,5,2,0.37,2
Tránsito,Baja,5,6,8,2,0.06,2
Seguridad,Baja,18,4,4,3,0.03,2
Bache,Media,16,6,3,4,0.14,2
Incendio,Alta,2,0,8,6,0.92,2
Tránsito,Media,17,0,0,1,0.38,1
Tránsito,Baja,10,2,7,6,0.83,2
Incendio,Alta,10,5,3,3,0.33,2
Incendio,Alta,16,3,6,6,0.88,2
Tránsito,Alta,12,3,1,1,0.3,1
Bache,Baja,10,3,8,2,0.31,1
Incendio,Baja,19,0,5,4,0.44,2
Tránsito,Baja,2,1,5,1,0.78,2
Residuos,Alta,4,2,2,5,0.31,2
Seguridad,Alta,9,6,6,1,0.38,2
Seguridad,Baja,11,6,7,0,0.73,1
Tránsito,Media,7,4,0,2,0.64,1
Residuos,Alta,19,3,2,5,0.09,2
Seguridad,Media,14,2,4,6,0.61,2
Bache,Alta,21,1,0,6,0.3,2
Incendio,Baja,5,2,6,0,0.76,1
Tránsito,Media,4,2,7,6,0.82,2
Tránsito,Alta,11,0,2,0,0.8,2
Seguridad,Media,3,0,7,2,0.17,2
Iluminación,Alta,5,5,2,6,0.36,2
Incendio,Alta,11,4,0,1,0.15,1
Iluminación,Media,0,4,7,0,0.76,1
Tránsito,Baja,11,0,0,1,0.69,0
Incendio,Media,11,2,1,1,0.67,1
Seguridad,Baja,15,1,1,5,0.17,1
Residuos,Media,15,5,0,3,0.3,1
Tránsito,Alta,3,0,0,0,0.69,1
Iluminación,Baja,11,0,4,3,0.51,1
Bache,Baja,3,3,5,1,0.59,1
Bache,Baja,21,2,3,6,0.39,1
Residuos,Media,19,0,1,2,0.37,1
Seguridad,Alta,21,6,1,1,0.87,1
Tránsito,Baja,5,4,0,6,0.06,1
Iluminación,Baja,5,1,3,0,0.87,0
Bache,Baja,0,2,3,0,0.68,0
Iluminación,Baja,2,3,1,4,0.18,1
Bache,Baja,17,4,0,5,0.27,1
Seguridad,Alta,14,2,0,2,0.07,1
Bache,Media,23,6,8,0,0.08,1
Residuos,Media,12,0,2,0,0.05,0
Incendio,Alta,17,1,0,0,0.47,1
Seguridad,Baja,0,1,7,1,0.27,1
Incendio,Alta,17,6,0,0,0.82,1
Seguridad,Baja,12,2,1,5,0.84,1
Incendio,Baja,15,4,0,0,0.05,0
Iluminación,Baja,5,5,3,3,0.47,1
Iluminación,Baja,0,2,4,0,0.47,1
Residuos,Alta,2,2,4,0,0.82,1
Incendio,Baja,5,0,5,1,0.59,1
Residuos,Alta,16,2,0,4,0.9,1
Iluminación,Media,11,5,2,3,0.82,1
Bache,Baja,20,6,0,5,0.22,1
Incendio,Baja,4,6,0,1,0.38,0
Residuos,Baja,17,5,0,0,0.89,0
Residuos,Baja,11,3,2,5,0.32,1
Tránsito,Baja,21,0,2,2,0.57,1
Iluminación,Baja,12,6,2,2,0.19,1
Residuos,Alta,23,5,3,0,0.12,1
Iluminación,Baja,14,3,4,2,0.75,1
Tránsito,Baja,4,0,1,6,0.2,1
Residuos,Baja,23,3,7,1,0.96,1
Residuos,Baja,12,0,0,4,0.16,0
Incendio,Baja,20,5,0,6,0.39,1
Bache,Baja,13,0,1,1,0.68,0
Seguridad,Baja,17,2,1,3,0.33,1
Iluminación,Baja,16,3,0,0,0.34,0
Seguridad,Media,14,3,1,3,0.4,1
Incendio,Baja,5,1,3,1,0.8,1
Incendio,Media,3,1,2,0,0.78,1
Iluminación,Media,23,1,3,1,0.51,1
Residuos,Baja,13,4,1,1,0.07,0
Residuos,Baja,4,2,2,4,0.46,1
Bache,Media,4,6,1,3,0.11,1
Tránsito,Baja,12,0,1,2,0.34,1
Tránsito,Media,2,1,0,5,0.59,1
Incendio,Baja,2,3,6,1,0.61,1
Tránsito,Baja,21,4,1,4,0.19,1
Bache,Media,1,5,2,3,0.55,1
Residuos,Media,11,0,1,3,0.99,1
Seguridad,Media,12,0,3,0,0.29,1
Bache,Media,22,5,2,0,0.07,1
Seguridad,Baja,3,3,1,6,0.56,1
Incendio,Baja,3,5,1,3,0.44,1
Iluminación,Baja,0,2,3,6,0.44,1
Incendio,Media,2,3,2,2,0.82,1
Seguridad,Baja,5,3,1,6,0.49,1
Tránsito,Media,10,3,0,3,0.54,1
Seguridad,Media,16,6,2,0,0.22,1
Tránsito,Baja,13,4,2,1,0.34,1
Residuos,Alta,14,5,3,0,0.94,1
Incendio,Baja,11,2,0,2,0.8,0
Tránsito,Baja,5,4,2,0,0.6,0
Residuos,Media,10,4,1,0,0.5,0
Iluminación,Baja,11,0,7,0,0.94,1
Seguridad,Baja,13,1,3,0,0.66,1
Seguridad,Media,0,6,0,3,0.97,1
Residuos,Baja,17,4,1,4,0.99,1
Seguridad,Baja,20,2,4,0,0.18,1
Residuos,Baja,20,5,1,5,0.26,1
Seguridad,Media,12,0,0,6,0.74,1
Tránsito,Baja,16,3,5,0,0.26,1
Bache,Media,3,4,0,4,0.26,1
Bache,Baja,22,1,3,1,0.63,1
Seguridad,Alta,4,3,2,0,0.07,1
Tránsito,Alta,23,3,0,1,0.12,1
Residuos,Baja,1,2,1,5,0.33,1
Tránsito,Media,14,0,1,2,0.54,1
Residuos,Baja,10,0,2,1,0.97,0
Iluminación,Media,21,4,1,2,0.96,1
Incendio,Baja,13,3,4,0,0.87,1
Incendio,Media,15,1,2,0,0.81,1
Residuos,Baja,23,5,5,0,0.82,1
Seguridad,Baja,22,4,0,0,0.57,0
Bache,Baja,10,6,1,6,0.64,1
Bache,Baja,3,4,2,0,0.36,0
Residuos,Baja,0,4,4,6,0.59,1
Iluminación,Baja,15,6,3,0,0.77,0
Iluminación,Media,3,0,0,2,0.9,1
Residuos,Baja,23,4,4,2,0.18,1
Residuos,Baja,23,1,5,1,0.25,1
Seguridad,Baja,22,0,2,3,0.04,1
Residuos,Alta,23,4,0,6,0.32,1
Tránsito,Baja,2,1,0,1,0.78,1
Incendio,Media,7,1,0,0,0.4,1
Iluminación,Baja,1,5,2,6,0.14,1
Iluminación,Media,0,0,1,3,0.04,1
Tránsito,Baja,16,1,1,1,0.3,0
Incendio,Baja,3,5,1,5,0.34,1
Iluminación,Media,8,1,0,2,0.55,1
Residuos,Baja,12,5,2,2,0.17,0
Incendio,Baja,21,1,5,0,0.59,1
Residuos,Baja,0,0,8,3,0.57,1
Residuos,Media,14,4,1,1,0.15,0
Residuos,Alta,16,2,0,0,0.56,0
Residuos,Media,10,3,1,3,0.7,1
Tránsito,Baja,22,6,1,4,0.44,1
Residuos,Baja,21,1,3,5,0.8,1
Incendio,Media,1,5,0,3,0.87,1
Bache,Baja,10,5,4,2,0.21,1
Iluminación,Media,13,1,0,3,0.24,1
Bache,Baja,0,1,8,2,0.14,1
Tránsito,Media,2,1,0,1,0.06,1
Iluminación,Media,14,1,1,5,0.53,1
Incendio,Alta,3,6,0,0,0.4,1
Residuos,Baja,0,2,0,6,0.04,0
Bache,Media,13,0,2,0,0.25,1
Iluminación,Baja,0,4,4,2,0.32,1
Incendio,Media,10,3,3,1,0.09,1
Residuos,Media,5,4,0,1,0.02,0
Residuos,Baja,12,5,2,3,0.75,1
Bache,Media,22,2,2,1,0.05,1
Seguridad,Baja,1,0,4,0,0.05,1
Seguridad,Media,3,4,3,0,0.69,1
Residuos,Media,11,1,7,1,0.56,1
Residuos,Baja,7,5,6,0,0.62,1
Iluminación,Baja,12,1,0,2,0.61,0
Tránsito,Baja,10,2,1,4,0.17,1
Incendio,Alta,16,6,0,0,0.39,1
Bache,Baja,12,6,5,2,0.06,1
Bache,Alta,13,3,1,0,0.09,1
Residuos,Media,20,3,2,1,0.15,1
Bache,Baja,6,3,3,0,0.68,1
Iluminación,Baja,10,0,3,3,0.86,1
Tránsito,Media,22,6,1,0,0.19,1
Seguridad,Media,0,0,1,1,1.0,1
Residuos,Baja,12,4,4,4,0.47,1
Incendio,Alta,4,0,2,0,0.72,1
Residuos,Media,22,2,8,1,0.18,1
Iluminación,Media,15,6,2,0,0.39,1
Seguridad,Media,16,2,1,0,0.01,1
Residuos,Baja,5,5,0,6,0.39,0
Iluminación,Baja,15,4,5,0,0.75,1
Residuos,Alta,4,1,0,2,0.8,1
Residuos,Media,18,3,2,0,0.02,1
Iluminación,Media,1,1,2,2,0.04,1
Iluminación,Media,2,1,1,4,0.81,1
Iluminación,Alta,1,4,1,1,0.76,1
Seguridad,Baja,18,2,0,3,0.35,1
Iluminación,Media,12,6,8,0,0.16,1
Iluminación,Baja,4,5,7,0,0.66,1
Tránsito,Baja,10,2,4,2,0.44,1
Iluminación,Baja,2,5,2,3,0.17,1
Residuos,Media,12,1,3,3,0.52,1
Residuos,Baja,16,5,1,5,0.57,1
Iluminación,Media,15,6,2,2,0.64,1
Residuos,Alta,3,2,0,4,0.64,1
Seguridad,Alta,11,0,0,0,0.26,1
Iluminación,Baja,12,6,3,2,0.88,1
Seguridad,Baja,3,6,2,2,0.74,1
Bache,Baja,21,0,0,2,0.56,0
Seguridad,Baja,22,4,1,4,0.45,1
Incendio,Baja,0,6,2,0,1.0,0
Residuos,Media,2,3,6,0,0.72,1
Bache,Baja,22,3,3,3,0.04,1
Seguridad,Media,10,6,2,1,0.32,1
Incendio,Media,11,1,1,1,0.9,1
Residuos,Baja,3,5,1,5,0.96,1
Incendio,Baja,0,2,6,0,0.83,1
Iluminación,Baja,11,5,4,1,0.19,1
Bache,Baja,18,3,7,0,0.62,1
Tránsito,Media,15,2,0,6,0.57,1
Incendio,Baja,3,1,2,3,0.85,1
Residuos,Media,22,6,3,3,0.53,1
Residuos,Baja,23,1,0,3,0.2,0
Iluminación,Media,13,5,2,0,0.93,1
Seguridad,Media,20,0,0,1,0.74,1
Residuos,Media,2,5,6,1,0.52,1
Incendio,Baja,5,2,2,4,0.87,1
Iluminación,Alta,2,2,1,0,0.07,1
Residuos,Media,12,3,1,6,0.82,1
Bache,Baja,1,0,1,2,0.74,1
Tránsito,Media,12,3,3,1,0.33,1
Residuos,Baja,9,5,0,2,0.89,0
Residuos,Alta,9,3,1,1,0.93,1
Incendio,Baja,6,1,1,0,0.62,1
Incendio,Media,16,1,0,2,0.02,1
Residuos,Media,16,1,1,1,0.77,0
Iluminación,Baja,9,0,1,2,0.71,1
Residuos,Baja,12,5,1,4,0.35,1
Seguridad,Baja,21,2,0,5,0.31,1
Iluminación,Baja,8,3,1,5,0.69,1
Residuos,Baja,22,1,4,4,0.95,1
Seguridad,Baja,22,3,2,3,0.23,1
Seguridad,Baja,7,6,1,0,0.94,1
Residuos,Alta,23,1,0,6,0.66,1
Iluminación,Alta,16,6,0,2,0.65,1
Incendio,Baja,10,4,2,6,0.6,1
Residuos,Alta,11,1,0,3,0.72,1
Incendio,Media,14,1,1,3,0.65,1
Iluminación,Media,14,6,1,6,0.56,1
Residuos,Media,10,6,4,1,0.55,1
Incendio,Baja,22,4,1,1,0.48,0
Residuos,Alta,4,1,3,1,0.44,1
Incendio,Baja,4,0,0,4,0.29,1
Bache,Alta,4,0,0,2,0.48,1
Residuos,Alta,11,6,0,0,0.53,0
Incendio,Baja,10,2,3,1,0.12,1
Iluminación,Baja,23,0,7,1,0.31,1
Iluminación,Alta,10,4,1,0,0.79,1
Incendio,Media,13,5,0,2,0.15,1
Seguridad,Baja,23,2,4,1,0.6,1
Bache,Media,3,6,2,0,0.22,1
Incendio,Baja,22,2,0,3,1.0,1
Residuos,Alta,4,0,1,2,0.92,1
Residuos,Media,6,3,2,2,0.47,1
Residuos,Media,18,2,0,0,0.47,0
Incendio,Baja,7,0,4,0,0.92,1
Iluminación,Media,12,4,3,2,0.45,1
Residuos,Baja,10,2,3,1,0.23,0
Iluminación,Baja,5,0,1,1,0.31,0
Iluminación,Alta,1,6,1,2,0.77,1
Residuos,Media,14,5,0,4,0.3,1
Seguridad,Media,21,4,0,6,0.6,1
Seguridad,Baja,20,0,0,3,0.23,1
Seguridad,Media,15,5,2,2,0.73,1
Residuos,Baja,3,4,5,2,0.18,1
Iluminación,Baja,23,1,0,4,0.7,1
Iluminación,Baja,2,4,2,3,0.77,1
Bache,Media,6,1,0,3,0.18,1
Residuos,Baja,1,1,8,1,0.45,1
Bache,Media,15,4,0,0,0.86,1
Residuos,Media,12,1,4,1,0.91,1
Iluminación,Media,1,2,1,2,0.25,1
Tránsito,Media,4,6,0,0,0.7,0
Seguridad,Baja,23,3,3,2,0.77,1
Iluminación,Baja,4,3,1,5,0.22,1
Iluminación,Media,23,1,0,0,0.27,0
Iluminación,Baja,23,3,3,5,0.76,1
Residuos,Alta,12,3,0,5,0.41,1
Bache,Media,15,3,1,4,0.33,1
Seguridad,Baja,23,6,0,6,0.49,1
Residuos,Baja,5,5,6,2,0.0,1
Bache,Baja,21,3,4,3,0.43,1
Residuos,Baja,9,2,4,0,0.15,1
Incendio,Baja,11,5,3,1,0.64,1
Residuos,Alta,22,1,0,6,0.48,1
Residuos,Baja,9,0,1,1,0.5,0
Residuos,Baja,17,5,5,0,0.45,1
Incendio,Baja,2,2,2,5,0.96,1
Incendio,Baja,16,0,4,2,0.38,1
Incendio,Baja,13,6,3,3,0.25,1
Residuos,Media,1,2,4,1,0.41,1
Seguridad,Baja,13,0,0,2,0.71,0
Incendio,Baja,13,3,2,5,0.61,1
Tránsito,Alta,3,6,2,0,0.28,1
Seguridad,Baja,16,1,0,3,0.3,1
Residuos,Baja,23,4,3,1,0.8,0
Residuos,Baja,3,0,1,0,0.8,0
Incendio,Baja,16,0,3,3,0.86,1
Residuos,Media,5,5,6,0,0.69,1
Residuos,Baja,14,0,1,2,0.1,0
Residuos,Baja,10,3,8,0,0.38,1
Bache,Media,3,3,1,0,0.56,0
Bache,Media,15,4,1,6,0.26,1
Tránsito,Media,13,2,1,2,0.4,1
Residuos,Media,21,6,7,0,1.0,1
Incendio,Media,10,0,3,1,0.41,1
Residuos,Media,14,0,2,0,0.06,0
Bache,Media,13,0,1,1,0.32,1
Residuos,Alta,12,6,0,0,0.08,0
Iluminación,Baja,13,5,0,1,0.31,0
Seguridad,Media,3,1,3,1,0.01,1
Bache,Baja,0,4,3,5,0.2,1
Iluminación,Alta,14,4,2,0,0.05,1
Residuos,Baja,14,6,1,1,0.13,0
Seguridad,Baja,0,5,1,0,0.6,0
Seguridad,Baja,21,4,3,1,0.28,1
Iluminación,Alta,11,1,0,3,0.34,1
Seguridad,Baja,22,3,5,0,0.92,1
Residuos,Baja,19,5,7,1,0.72,1
Incendio,Media,3,5,1,3,0.8,1
Residuos,Baja,11,1,2,0,0.78,0
Tránsito,Baja,18,0,1,1,0.21,1
Bache,Baja,20,5,0,1,0.28,0
Iluminación,Baja,0,5,8,1,0.17,1
Tránsito,Baja,21,2,1,5,0.37,1
Residuos,Media,13,2,4,1,0.31,1
Incendio,Baja,23,6,4,2,0.58,1
Bache,Media,23,5,1,4,0.69,1
Iluminación,Baja,11,2,3,4,0.94,1
Seguridad,Baja,17,5,1,3,0.03,1
Incendio,Media,17,2,0,0,0.57,1
Iluminación,Media,15,6,7,0,0.56,1
Residuos,Baja,12,3,8,3,0.87,1
Incendio,Baja,2,2,1,4,0.32,1
Seguridad,Baja,17,5,1,3,0.12,1
Tránsito,Baja,10,2,0,2,0.0,0
Residuos,Baja,18,4,1,6,0.81,1
Tránsito,Baja,20,3,0,4,0.09,1
Incendio,Baja,6,6,2,2,0.26,1
Iluminación,Media,3,5,0,6,0.07,1
Residuos,Baja,16,5,0,3,0.41,0
Residuos,Baja,5,4,7,3,0.62,1
Incendio,Baja,9,3,1,3,0.55,1
Iluminación,Media,16,2,2,2,0.75,1
Residuos,Alta,13,5,1,3,0.69,1
Residuos,Alta,15,3,2,0,0.85,1
Bache,Media,15,0,0,4,0.57,1
Residuos,Alta,17,6,0,2,0.71,1
Residuos,Media,13,1,8,0,0.49,1
Residuos,Baja,1,0,0,5,0.96,0
Residuos,Baja,12,2,0,0,0.61,0
Incendio,Baja,12,1,3,0,0.43,1
Iluminación,Baja,6,2,7,0,0.12,1
Incendio,Media,23,4,1,2,0.76,1
Incendio,Alta,19,2,0,0,0.88,1
Incendio,Baja,12,5,2,3,0.49,1
Residuos,Baja,16,2,4,2,0.3,1
Residuos,Media,7,2,0,2,0.13,1
Tránsito,Media,23,5,1,1,0.01,1
Incendio,Baja,22,3,0,1,0.65,0
Tránsito,Baja,12,6,1,6,0.3,1
Residuos,Baja,19,0,0,2,0.38,0
Iluminación,Baja,16,0,1,1,0.06,0
Seguridad,Media,1,1,0,0,0.11,0
Iluminación,Baja,12,1,1,2,0.21,0
Residuos,Baja,17,5,4,0,0.13,1
Iluminación,Baja,2,0,8,1,0.5,1
Tránsito,Media,10,3,3,0,0.3,1
Residuos,Baja,0,3,3,3,0.94,1
Incendio,Baja,15,3,4,1,0.02,1
Seguridad,Media,10,3,0,0,0.13,0
Residuos,Baja,2,1,5,0,0.17,1
Iluminación,Alta,2,0,2,1,0.47,1
Bache,Media,8,6,0,0,0.09,1
Residuos,Alta,14,3,3,0,0.44,1
Incendio,Media,13,6,0,0,0.87,0
Iluminación,Media,15,2,6,0,0.7,1
Residuos,Baja,2,5,0,3,0.09,0
Incendio,Baja,2,6,0,1,0.59,0
Seguridad,Baja,23,5,4,1,0.62,1
Residuos,Alta,3,5,2,0,0.4,1
Tránsito,Media,5,5,0,4,0.04,1
Tránsito,Media,12,4,0,5,0.53,1
Residuos,Baja,0,0,8,2,0.91,1
Seguridad,Baja,3,3,1,3,0.34,1
Bache,Baja,12,6,0,5,0.29,1
Seguridad,Media,11,5,3,1,0.61,1
Residuos,Alta,15,1,0,0,0.69,0
Incendio,Baja,21,1,3,0,0.36,1
Iluminación,Baja,10,1,7,1,0.96,1
